SKU,Nombre,Categoria,Precio,Stock,Material,Descripcion,Imagen 1,Imagen 2,Visible,Destacado,Oferta,Precio Oferta,,,,,,,,,,,,,,,,/
SOL-ARO-0002,aros animal print,aros,5000,1,Fantasía,"aros de acero inoxidable de excelente calidad, elegi el modelo que mas te guste!",,,1,0,0,10000,,,,,,,,,,,,,,,,
SOL-ARO-0003,aros flecha strass,aros,5000,1,Fantasía,"aros de acero inoxidable de excelente calidad, elegi el modelo que mas te guste!",,,1,0,0,10000,,,,,,,,,,,,,,,,
SOL-ARO-0004,aros redondos strass,aros,5000,1,Fantasía,"aros de acero inoxidable de excelente calidad, elegi el modelo que mas te guste!",,,1,0,0,10000,,,,,,,,,,,,,,,,
SOL-PUL-0007,Pulserita plateada corazón strass,pulseras,10000,1,Acero inoxidable,,,,1,0,0,10000,,,,,,,,,,,,,,,,
SOL-TOB-0008,Tobillera Argentina ,tobilleras,8000,1,Fantasía,,,,1,0,1,5000,,,,,,,,,,,,,,,,
SOL-PUL-0009,pulseras plateada estrellas strass,pulseras,10000,1,Acero inoxidable,,,,1,0,1,8000,,,,,,,,,,,,,,,,
SOL-ARO-0012,Arito espiral ,aros,8000,1,Fantasía,"aros de acero inoxidable de excelente calidad, elegi el modelo que mas te guste!",,,1,0,1,5000,,,,,,,,,,,,,,,,
SOL-CHA-0016,Charm hello kitty ,charms,10000,1,Acero inoxidable,,SOL-CHA-0016-01.jpg,,1,0,0,8000,,,,,,,,,,,,,,,,
SOL-ARO-0005,aros estrella ,aros,8000,1,Acero inoxidable,"aros de acero inoxidable de excelente calidad, elegi el modelo que mas te guste!",,,1,0,0,6000,,,,,,,,,,,,,,,,
SOL-ARO-0006,aros Antonella plateados,aros,12000,1,Bronce Blanco,"aros de acero inoxidable de excelente calidad, elegi el modelo que mas te guste!",SOL-ARO-0006-01.jpg,,1,0,0,10000,,,,,,,,,,,,,,,,
SOL-PUL-0011,pulseras Pandora Rose Gold,pulseras-para-charms,30000,1,Chapado en plata 925,"Charm de plata 925 de excelente calidad, compatible con pulseras Pandora y similares.",,,1,0,0,25000,,,,,,,,,,,,,,,,
SOL-PUL-0012,pulseras Infinito,pulseras-para-charms,30000,2,Chapado en plata 925,"pulseras tipo pandora plateada, con baño de plata 925 con forma de infinito",,,1,0,0,25000,,,,,,,,,,,,,,,,
SOL-PUL-0013,pulseras con corazon Strass,pulseras-para-charms,30000,1,Chapado en plata 925,pulseras tipo Pandora bañada en plata con un corazon con strass,SOL-PUL-0013-01.jpg,,1,0,0,25000,,,,,,,,,,,,,,,,
SOL-PUL-0014,pulseras serpiente,pulseras-para-charms,8000,3,Acero inoxidable,pulseras de acero inxidable plateada de excelente calidad,SOL-PUL-0014-01.jpg,,1,0,0,6000,,,,,,,,,,,,,,,,
SOL-PUL-0015,pulseras plateada tipo Cartier,pulseras,12000,2,Acero inoxidable,pulseras de acero inxidable plateada de excelente calidad,SOL-PUL-0015-01.jpg,,1,0,0,10000,,,,,,,,,,,,,,,,
SOL-PUL-0016,pulseras dorada con estrellas,pulseras,10000,1,Cobre,pulseras dorada brillosa con dijes de estrellas.,SOL-PUL-0016-01.jpg,,1,0,0,8000,,,,,,,,,,,,,,,,
SOL-PUL-0017,pulseras eslabones,pulseras,10000,1,Cobre,,SOL-PUL-0017-01.jpg,,1,0,0,8000,,,,,,,,,,,,,,,,
SOL-PUL-0018,pulseras Turquesa,pulseras,10000,1,Acero inoxidable,,SOL-PUL-0018-01.jpg,,1,0,0,8000,,,,,,,,,,,,,,,,
SOL-CAD-0010,Cadenita The Sun carta Tarot,cadenas,13500,1,Acero inoxidable,"Cadenita de acero inoxidable de excelente calidad, elegi el modelo que mas te guste!",SOL-CAD-0010-01.jpg,,1,0,0,10000,,,,,,,,,,,,,,,,
SOL-CAD-0011,Cadenita Esmeralda,cadenas,10000,1,Cobre,"Cadenita de acero inoxidable de excelente calidad, elegi el modelo que mas te guste!",,,1,0,0,8000,,,,,,,,,,,,,,,,
SOL-CAD-0012,Cadenita reversible tipo Bulgari,cadenas,10000,1,Cobre,"Cadenita de acero inoxidable de excelente calidad, elegi el modelo que mas te guste!",,,1,0,0,8000,,,,,,,,,,,,,,,,
SOL-CAD-0013,Cadenita Virgencita de Guadalupe,cadenas,10000,0,Cobre,"Cadenita de acero inoxidable de excelente calidad, elegi el modelo que mas te guste!",,,0,0,0,8000,,,,,,,,,,,,,,,,
SOL-CAD-0014,Cadenita Llave con strass,cadenas,13500,1,Acero inoxidable,"Cadenita de acero inoxidable de excelente calidad, elegi el modelo que mas te guste!",SOL-CAD-0014-01.jpg,,1,0,0,10000,,,,,,,,,,,,,,,,
SOL-ARO-0007,aros Turquesas estrella,aros,8000,1,Acero inoxidable,"aros de acero inoxidable de excelente calidad, elegi el modelo que mas te guste!",,,1,0,0,6000,,,,,,,,,,,,,,,,
SOL-ARO-0008,aros Arbol de la vida dorados,aros,8000,1,Acero inoxidable,"aros de acero inoxidable de excelente calidad, elegi el modelo que mas te guste!",,,1,0,0,6000,,,,,,,,,,,,,,,,
SOL-ARO-0009,aros Corazón reversible doradas,aros,8000,1,Acero inoxidable,"aros de acero inoxidable de excelente calidad, elegi el modelo que mas te guste!",SOL-ARO-0009-01.jpg,,1,0,0,8000,,,,,,,,,,,,,,,,
SOL-ARO-0010,aros Candado,aros,10000,2,Acero inoxidable,"aros de acero inoxidable de excelente calidad, elegi el modelo que mas te guste!",,,1,0,0,8000,,,,,,,,,,,,,,,,
SOL-ARO-0011,aros corazon plateado con strass,aros,10000,1,Acero inoxidable,"aros de acero inoxidable de excelente calidad, elegi el modelo que mas te guste!",,,1,0,0,8000,,,,,,,,,,,,,,,,
SOL-GOR-0001,Gorra Argentina azul,gorras,10000,1,Tela,"Gorras muy facheras de Argentina, excelente ajuste y hermosa calidad! Elegi tu preferida",,,1,0,0,8000,,,,,,,,,,,,,,,,
SOL-GOR-0002,Gorra Argentina negra,gorras,10000,1,Tela,"Gorras muy facheras de Argentina, excelente ajuste y hermosa calidad! Elegi tu preferida",,,1,0,0,8000,,,,,,,,,,,,,,,,
SOL-ARO-00012,aros Antonella dorados,aros,12000,1,Bronce Blanco,"aros de acero inoxidable de excelente calidad, elegi el modelo que mas te guste!",SOL-ARO-0006-01.jpg,,1,0,0,10000,,,,,,,,,,,,,,,,
SOL-ANI-0005,Anillos dorados de acero quirurgico,anillos,6000,10,Acero inoxidable,"Diferentes modelos de anillos de acero inoxidable color dorado, elegi alguno de la foto!",SOL-ANI-0005-01.jpg,SOL-ANI-0005-01,1,1,1,3500,,,,,,,,,,,,,,,,
SOL-CMB-0001,Combo Joyero + Charm 925 + Pulsera bañada en plata,combos,150000,1,Mixto,"""Incluye joyero, pulsera para charms bañada en plata y un charm seleccionado.""",,,1,1,1,135000,,,,,,,,,,,,,,,,
SOL-CMB-0002,Combo Pulsera bañada en plata 925 + Charm 925 a elección!,combos,75000,3,Mixto,"""Incluye pulsera para charms bañada en plata y un charm seleccionado.""",,,1,1,1,60000,,,,,,,,,,,,,,,,
